"","x"
"758","2"
"759","0"
"760","5"
"761","4"
"762","7"
"763","3"
"764","4"
"765","0"
"766","0"
"767","0"
"768","2"
"769","0"
"770","0"
"771","0"
"772","2"
"773","0"
"774","2"
"775","0"
"776","0"
"777","1"
"778","0"
"779","4"
"780","2"
"781","5"
"782","10"
"783","4"
"784","2"
"785","0"
"786","0"
"787","2"
"788","0"
"789","1"
"790","2"
"791","9"
"792","5"
"793","7"
"794","1"
"795","2"
"796","4"
"797","6"
"798","2"
"799","2"
"800","2"
"801","1"
"802","0"
"803","1"
"804","0"
"805","0"
"806","1"
"807","2"
"808","0"
"809","4"
"810","2"
"811","0"
"812","2"
"813","0"
"814","3"
"815","0"
"816","3"
"817","4"
"818","2"
"819","2"
"820","0"
"821","4"
"822","1"
"823","7"
"824","7"
"825","0"
"826","0"
"827","12"
"828","0"
"829","3"
"830","3"
"831","0"
"832","1"
"833","2"
"834","3"
"835","0"
"836","3"
"837","3"
"838","2"
"839","2"
"840","3"
"841","1"
"842","0"
"843","1"
"844","1"
"845","2"
"846","0"
"847","10"
"848","11"
"849","1"
"850","5"
"851","3"
"852","0"
"853","0"
"854","0"
"855","0"
"856","2"
"857","0"
"858","1"
"859","3"
"860","1"
"861","3"
"862","1"
"863","0"
"864","11"
"865","1"
"866","0"
"867","2"
"868","5"
"869","2"
"870","5"
"871","0"
"872","11"
"873","0"
"874","1"
"875","0"
"876","10"
"877","0"
"878","0"
"879","1"
"880","1"
"881","0"
"882","2"
"883","0"
"884","0"
"885","1"
"886","1"
"887","0"
"888","3"
"889","3"
"890","4"
"891","3"
"892","9"
"893","2"
"894","0"
"895","0"
"896","2"
"897","3"
"898","1"
"899","2"
"900","0"
"901","0"
"902","3"
"903","9"
"904","0"
"905","5"
"906","3"
"907","2"
"908","1"
"909","1"
"910","0"
"911","0"
"912","1"
"913","6"
"914","3"
"915","0"
"916","5"
"917","2"
"918","5"
"919","3"
"920","1"
"921","2"
"922","1"
"923","2"
"924","3"
"925","3"
"926","0"
"927","2"
"928","1"
"929","9"
"930","3"
"931","1"
"932","6"
"933","0"
"934","3"
"935","1"
"936","3"
"937","1"
"938","2"
"939","0"
"940","0"
"941","5"
"942","8"
"943","3"
"944","2"
"945","0"
"946","12"
"947","1"
"948","0"
"949","2"
"950","0"
"951","9"
"952","6"
"953","2"
"954","1"
"955","1"
"956","4"
"957","9"
"958","2"
"959","8"
"960","0"
"961","1"
"962","2"
"963","4"
"964","0"
"965","1"
"966","1"
"967","1"
"968","1"
"969","1"
"970","1"
"971","12"
"972","0"
"973","9"
"974","1"
"975","0"
"976","3"
"977","1"
"978","4"
"979","6"
"980","1"
"981","2"
"982","1"
"983","0"
"984","3"
"985","0"
"986","3"
"987","5"
"988","0"
"989","3"
"990","1"
"991","0"
"992","1"
"993","0"
"994","12"
"995","9"
"996","1"
"997","0"
"998","2"
"999","0"
"1000","0"
"1001","1"
"1002","0"
"1003","3"
"1004","4"
"1005","0"
"1006","0"
"1007","11"
"1008","0"
"1009","1"
"1010","2"
"1011","5"
"1012","2"
"1013","1"
"1014","0"
"1015","6"
"1016","1"
"1017","0"
"1018","0"
"1019","0"
"1020","3"
"1021","10"
"1022","10"
"1023","4"
"1024","1"
"1025","4"
"1026","0"
"1027","2"
"1028","13"
"1029","0"
"1030","3"
"1031","4"
"1032","1"
"1033","0"
"1034","4"
"1035","5"
"1036","3"
"1037","0"
"1038","0"
"1039","3"
"1040","0"
"1041","0"
"1042","4"
"1043","3"
"1044","2"
"1045","1"
"1046","10"
"1047","3"
"1048","2"
"1049","3"
"1050","3"
"1051","4"
"1052","1"
"1053","2"
"1054","5"
"1055","3"
"1056","7"
"1057","4"
"1058","1"
"1059","2"
"1060","0"
"1061","1"
"1062","3"
"1063","12"
"1064","1"
"1065","1"
"1066","0"
"1067","0"
"1068","3"
"1069","1"
"1070","4"
"1071","1"
"1072","1"
"1073","0"
"1074","3"
"1075","0"
"1076","3"
"1077","0"
"1078","3"
"1079","0"
"1080","1"
"1081","2"
"1082","1"
"1083","1"
"1084","0"
"1085","2"
"1086","1"
"1087","0"
"1088","1"
"1089","3"
"1090","1"
"1091","0"
"1092","2"
"1093","1"
"1094","1"
"1095","1"
"1096","2"
"1097","1"
"1098","1"
"1099","11"
"1100","4"
"1101","0"
"1102","1"
"1103","3"
"1104","1"
"1105","9"
"1106","3"
"1107","3"
"1108","4"
"1109","5"
"1110","6"
"1111","1"
"1112","2"
"1113","0"
"1114","1"
"1115","1"
"1116","5"
"1117","0"
"1118","10"
"1119","1"
"1120","3"
"1121","5"
"1122","3"
"1123","5"
"1124","1"
"1125","2"
"1126","2"
"1127","1"
"1128","4"
"1129","6"
"1130","2"
"1131","1"
"1132","0"
"1133","2"
"1134","5"
"1135","1"
"1136","2"
"1137","0"
"1138","3"
"1139","0"
"1140","0"
"1141","9"
"1142","3"
"1143","7"
"1144","3"
"1145","4"
"1146","2"
"1147","1"
"1148","3"
"1149","1"
"1150","3"
"1151","2"
"1152","0"
"1153","3"
"1154","6"
"1155","2"
"1156","0"
"1157","0"
"1158","3"
"1159","7"
"1160","1"
"1161","3"
"1162","3"
"1163","0"
"1164","1"
"1165","0"
"1166","3"
"1167","0"
"1168","2"
"1169","2"
"1170","2"
"1171","8"
"1172","0"
"1173","1"
"1174","0"
"1175","1"
"1176","4"
"1177","9"
"1178","6"
"1179","0"
"1180","3"
"1181","3"
"1182","0"
"1183","3"
"1184","0"
"1185","3"
"1186","5"
"1187","0"
